timestamp_utc,doppler_hz,snr_db
2026-01-19 00:00:00+00:00,-0.428495525971207,50.0
2026-01-19 00:01:00+00:00,-0.4693534368869447,50.0
2026-01-19 00:02:00+00:00,-0.495841756968969,50.0
2026-01-19 00:03:00+00:00,-0.4954511165722485,50.0
2026-01-19 00:04:00+00:00,-0.38526883361270203,50.0
2026-01-19 00:05:00+00:00,-0.25773454233393267,50.0
2026-01-19 00:06:00+00:00,-0.14656088058148833,50.0
2026-01-19 00:07:00+00:00,-0.04639872712611585,50.0
2026-01-19 00:08:00+00:00,0.03809589244786475,50.0
2026-01-19 00:09:00+00:00,0.11136608577704421,50.0
2026-01-19 00:10:00+00:00,0.025985054712423544,50.0
2026-01-19 00:11:00+00:00,-0.11738604679493206,50.0
2026-01-19 00:12:00+00:00,-0.23755033514236232,50.0
2026-01-19 00:13:00+00:00,-0.34267671462321625,50.0
2026-01-19 00:14:00+00:00,-0.4394045483831269,50.0
2026-01-19 00:15:00+00:00,-0.4780451359535139,50.0
2026-01-19 00:16:00+00:00,-0.3723758607201635,50.0
2026-01-19 00:17:00+00:00,-0.24438665836005072,50.0
2026-01-19 00:18:00+00:00,-0.12050527556937268,50.0
2026-01-19 00:19:00+00:00,-0.010700224695501581,50.0
2026-01-19 00:20:00+00:00,0.16292832993334203,50.0
2026-01-19 00:21:00+00:00,0.3836826074770206,50.0
2026-01-19 00:22:00+00:00,0.49852616874074607,50.0
2026-01-19 00:23:00+00:00,0.4701244183198629,50.0
2026-01-19 00:24:00+00:00,0.3468240018448645,50.0
2026-01-19 00:25:00+00:00,0.20735412275070664,50.0
2026-01-19 00:26:00+00:00,0.05178493286343441,50.0
2026-01-19 00:27:00+00:00,-0.059916834176161296,50.0
2026-01-19 00:28:00+00:00,-0.10467187802691984,50.0
2026-01-19 00:29:00+00:00,-0.030076142567933013,50.0
2026-01-19 00:30:00+00:00,0.1383199242998128,50.0
2026-01-19 00:31:00+00:00,0.0821038947283352,50.0
2026-01-19 00:32:00+00:00,0.0632636475600498,50.0
2026-01-19 00:33:00+00:00,0.0513191959610845,50.0
2026-01-19 00:34:00+00:00,0.010572700191214,50.0
2026-01-19 00:35:00+00:00,0.0646840333539647,50.0
2026-01-19 00:36:00+00:00,0.1283706646990829,50.0
2026-01-19 00:37:00+00:00,0.2212934814910128,50.0
2026-01-19 00:38:00+00:00,0.2828447556201733,50.0
2026-01-19 00:39:00+00:00,0.2853230060734968,50.0
2026-01-19 00:40:00+00:00,0.3180057021857124,50.0
2026-01-19 00:41:00+00:00,0.351560916074515,50.0
2026-01-19 00:42:00+00:00,0.2662736568634731,50.0
2026-01-19 00:43:00+00:00,0.4454463640276685,50.0
